
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
            a      0.10      0.04      0.10      0.02      0.14    161.16      1.00
     logalpha      2.39      0.33      2.30      2.00      2.86     86.25      1.00
     logsigma      1.33      0.23      1.29      1.00      1.67     30.28      1.02
       logtau     -0.02      0.51     -0.23     -0.52      0.90     26.68      1.02
      t0_base      0.41      0.09      0.41      0.28      0.50    239.50      1.00
 tarr_base[0]      0.15      0.11      0.13      0.01      0.28    172.73      1.01
 tarr_base[1]      0.15      0.10      0.14      0.00      0.27    174.23      1.01
 tarr_base[2]      0.16      0.10      0.15      0.01      0.27    191.15      1.01
 tarr_base[3]      0.17      0.09      0.16      0.02      0.28    207.08      1.02
 tarr_base[4]      0.17      0.08      0.16      0.03      0.28    219.47      1.02
 tarr_base[5]      0.18      0.08      0.17      0.04      0.28    207.14      1.02
 tarr_base[6]      0.18      0.08      0.18      0.05      0.29    173.51      1.01
 tarr_base[7]      0.18      0.08      0.18      0.05      0.29    128.10      1.01
 tarr_base[8]      0.18      0.08      0.19      0.04      0.29    105.35      1.00
 tarr_base[9]      0.18      0.07      0.20      0.05      0.29     82.64      1.00
tarr_base[10]      0.19      0.07      0.20      0.07      0.29     67.69      1.00
tarr_base[11]      0.20      0.06      0.20      0.09      0.28     51.15      1.01
tarr_base[12]      0.21      0.05      0.21      0.13      0.29     38.72      1.01
tarr_base[13]      0.23      0.04      0.22      0.17      0.30     32.27      1.02
tarr_base[14]      0.26      0.03      0.25      0.22      0.31     31.17      1.03
tarr_base[15]      0.28      0.00      0.28      0.27      0.29    836.40      1.00
tarr_base[16]      0.33      0.00      0.33      0.32      0.34    388.48      1.00
tarr_base[17]      0.36      0.00      0.36      0.35      0.37    833.94      1.00
tarr_base[18]      0.38      0.00      0.38      0.37      0.39    592.69      1.00
tarr_base[19]      0.39      0.00      0.39      0.38      0.40    245.53      1.00
tarr_base[20]      0.40      0.00      0.40      0.39      0.41    799.63      1.00
tarr_base[21]      0.42      0.00      0.42      0.41      0.42    620.84      1.00
tarr_base[22]      0.42      0.00      0.42      0.42      0.43    589.04      1.00
tarr_base[23]      0.45      0.00      0.45      0.44      0.46    299.42      1.00
tarr_base[24]      0.46      0.00      0.46      0.45      0.47    808.41      1.00
tarr_base[25]      0.48      0.00      0.48      0.47      0.49    800.08      1.00
tarr_base[26]      0.51      0.00      0.51      0.50      0.51    262.10      1.00
tarr_base[27]      0.52      0.00      0.52      0.51      0.53    667.30      1.00
tarr_base[28]      0.54      0.02      0.54      0.51      0.57    583.70      1.00
tarr_base[29]      0.56      0.03      0.56      0.51      0.60    408.94      1.00
tarr_base[30]      0.57      0.04      0.58      0.50      0.64    380.08      1.00
tarr_base[31]      0.59      0.06      0.60      0.50      0.69    346.34      1.00
tarr_base[32]      0.61      0.08      0.62      0.51      0.76    346.47      1.00
tarr_base[33]      0.64      0.09      0.65      0.48      0.78    328.93      1.00
tarr_base[34]      0.66      0.11      0.67      0.51      0.85    320.16      1.00
tarr_base[35]      0.69      0.12      0.70      0.50      0.87    317.76      1.00
tarr_base[36]      0.71      0.13      0.73      0.52      0.93    291.46      1.00

Number of divergences: 1
