
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
     logalpha      2.72      0.28      2.68      2.30      3.09     70.46      1.01
     logsigma      1.26      0.19      1.22      1.01      1.54     43.06      1.02
       logtau     -0.10      0.32     -0.18     -0.52      0.33     32.22      1.02
      mu_base      0.39      0.14      0.38      0.11      0.58    712.79      1.00
 tarr_base[0]      0.36      0.18      0.35      0.04      0.63     74.05      1.02
 tarr_base[1]      0.36      0.17      0.35      0.04      0.58     77.06      1.02
 tarr_base[2]      0.35      0.16      0.35      0.06      0.57     79.97      1.01
 tarr_base[3]      0.34      0.16      0.33      0.08      0.57     85.95      1.01
 tarr_base[4]      0.33      0.15      0.32      0.07      0.53     92.55      1.01
 tarr_base[5]      0.31      0.14      0.30      0.07      0.51    100.02      1.01
 tarr_base[6]      0.29      0.14      0.27      0.09      0.53    106.84      1.00
 tarr_base[7]      0.26      0.13      0.24      0.06      0.49    112.58      1.00
 tarr_base[8]      0.24      0.13      0.21      0.04      0.45    119.40      1.00
 tarr_base[9]      0.21      0.12      0.20      0.01      0.37    134.06      1.00
tarr_base[10]      0.20      0.10      0.19      0.03      0.34    144.54      1.00
tarr_base[11]      0.19      0.08      0.18      0.07      0.31    157.70      1.00
tarr_base[12]      0.20      0.06      0.19      0.10      0.28    158.30      1.00
tarr_base[13]      0.22      0.04      0.21      0.16      0.29    103.72      1.01
tarr_base[14]      0.25      0.02      0.24      0.21      0.29     74.53      1.01
tarr_base[15]      0.28      0.01      0.28      0.27      0.29    532.03      1.00
tarr_base[16]      0.33      0.00      0.33      0.32      0.34    642.39      1.00
tarr_base[17]      0.36      0.00      0.36      0.35      0.37    765.71      1.00
tarr_base[18]      0.38      0.00      0.38      0.37      0.39    812.15      1.00
tarr_base[19]      0.39      0.00      0.39      0.38      0.40    355.52      1.00
tarr_base[20]      0.40      0.00      0.40      0.40      0.41    783.82      1.00
tarr_base[21]      0.42      0.00      0.42      0.41      0.42    682.58      1.00
tarr_base[22]      0.42      0.00      0.42      0.42      0.43    873.37      1.00
tarr_base[23]      0.45      0.00      0.45      0.44      0.45    391.15      1.00
tarr_base[24]      0.46      0.00      0.46      0.45      0.47    924.75      1.00
tarr_base[25]      0.48      0.00      0.48      0.47      0.49    755.52      1.00
tarr_base[26]      0.51      0.00      0.51      0.50      0.51    930.83      1.00
tarr_base[27]      0.52      0.00      0.52      0.51      0.52    842.08      1.00
tarr_base[28]      0.52      0.02      0.52      0.50      0.55    489.55      1.00
tarr_base[29]      0.52      0.03      0.52      0.47      0.58    266.26      1.00
tarr_base[30]      0.51      0.06      0.51      0.43      0.60    185.11      1.00
tarr_base[31]      0.50      0.08      0.50      0.38      0.63    152.96      1.00
tarr_base[32]      0.48      0.10      0.48      0.35      0.66    141.78      1.00
tarr_base[33]      0.47      0.11      0.46      0.28      0.64    142.84      1.00
tarr_base[34]      0.46      0.13      0.45      0.25      0.65    150.06      1.00
tarr_base[35]      0.45      0.14      0.43      0.24      0.68    155.15      1.00
tarr_base[36]      0.44      0.15      0.43      0.20      0.70    160.16      1.00

Number of divergences: 1
