
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
     logalpha      2.83      0.35      2.76      2.27      3.38     50.43      1.02
     logsigma      1.30      0.21      1.26      1.00      1.61     44.10      1.03
       logtau      0.01      0.44     -0.14     -0.52      0.79     31.31      1.04
      mu_base      0.30      0.17      0.26      0.04      0.51    106.79      1.01
 tarr_base[0]      0.22      0.14      0.21      0.00      0.42     73.09      1.03
 tarr_base[1]      0.22      0.14      0.20      0.02      0.42     74.29      1.03
 tarr_base[2]      0.21      0.13      0.20      0.02      0.40     76.69      1.02
 tarr_base[3]      0.20      0.13      0.19      0.01      0.37     79.75      1.02
 tarr_base[4]      0.19      0.12      0.17      0.01      0.36     88.85      1.01
 tarr_base[5]      0.18      0.11      0.16      0.02      0.34    105.70      1.00
 tarr_base[6]      0.17      0.10      0.14      0.01      0.31    120.02      1.00
 tarr_base[7]      0.15      0.10      0.13      0.01      0.29    125.65      1.00
 tarr_base[8]      0.14      0.09      0.13      0.00      0.26    126.98      1.00
 tarr_base[9]      0.13      0.08      0.13      0.00      0.23    120.81      1.00
tarr_base[10]      0.12      0.07      0.12      0.02      0.21     97.40      1.00
tarr_base[11]      0.12      0.06      0.12      0.03      0.19     80.77      1.01
tarr_base[12]      0.13      0.04      0.12      0.06      0.19     63.94      1.01
tarr_base[13]      0.15      0.03      0.14      0.11      0.20     53.22      1.02
tarr_base[14]      0.17      0.02      0.16      0.14      0.20     45.96      1.02
tarr_base[15]      0.19      0.00      0.19      0.18      0.19    519.47      1.00
tarr_base[16]      0.22      0.00      0.22      0.21      0.22    859.17      1.00
tarr_base[17]      0.24      0.00      0.24      0.24      0.25    739.88      1.00
tarr_base[18]      0.25      0.00      0.25      0.25      0.26    391.17      1.00
tarr_base[19]      0.26      0.00      0.26      0.26      0.27    282.97      1.01
tarr_base[20]      0.27      0.00      0.27      0.26      0.27    644.75      1.00
tarr_base[21]      0.28      0.00      0.28      0.27      0.28    821.21      1.00
tarr_base[22]      0.28      0.00      0.28      0.28      0.29    679.85      1.01
tarr_base[23]      0.30      0.00      0.30      0.29      0.30    404.70      1.00
tarr_base[24]      0.31      0.00      0.31      0.30      0.31    749.08      1.00
tarr_base[25]      0.32      0.00      0.32      0.32      0.33    832.54      1.00
tarr_base[26]      0.34      0.00      0.34      0.33      0.34    587.05      1.00
tarr_base[27]      0.34      0.00      0.34      0.34      0.35    860.19      1.00
tarr_base[28]      0.35      0.01      0.35      0.33      0.37    388.03      1.00
tarr_base[29]      0.35      0.02      0.35      0.31      0.39    149.72      1.00
tarr_base[30]      0.35      0.04      0.35      0.28      0.40    127.41      1.00
tarr_base[31]      0.34      0.05      0.34      0.25      0.42    106.39      1.00
tarr_base[32]      0.33      0.07      0.33      0.22      0.44     96.61      1.00
tarr_base[33]      0.32      0.09      0.32      0.20      0.46     88.94      1.00
tarr_base[34]      0.32      0.10      0.31      0.15      0.46     85.46      1.00
tarr_base[35]      0.31      0.11      0.31      0.13      0.47     84.71      1.00
tarr_base[36]      0.31      0.12      0.30      0.10      0.47     82.22      1.00

Number of divergences: 0
