
                 mean       std    median      5.0%     95.0%     n_eff     r_hat
          a      0.12      0.05      0.11      0.05      0.21    142.09      1.01
   logalpha     -1.17      0.55     -1.23     -2.00     -0.44     93.51      1.01
   logsigma     -1.89      0.09     -1.91     -2.00     -1.76    184.32      1.01
 logtarr[0]      2.89      0.15      2.94      2.66      3.09    148.14      1.01
 logtarr[1]      2.91      0.14      2.95      2.67      3.08    148.42      1.01
 logtarr[2]      2.92      0.14      2.96      2.68      3.08    143.88      1.01
 logtarr[3]      2.94      0.13      2.98      2.72      3.10    145.36      1.01
 logtarr[4]      2.96      0.12      2.99      2.75      3.10    139.00      1.01
 logtarr[5]      2.97      0.11      3.01      2.79      3.10    138.02      1.01
 logtarr[6]      2.99      0.10      3.02      2.82      3.11    130.18      1.01
 logtarr[7]      3.01      0.09      3.03      2.85      3.12    129.81      1.00
 logtarr[8]      3.02      0.08      3.05      2.89      3.13    118.12      1.00
 logtarr[9]      3.04      0.07      3.06      2.92      3.13    109.01      1.00
logtarr[10]      3.06      0.06      3.08      2.95      3.14    111.15      1.00
logtarr[11]      3.07      0.05      3.09      2.99      3.14    103.25      1.00
logtarr[12]      3.09      0.04      3.10      3.03      3.16    103.27      1.00
logtarr[13]      3.11      0.03      3.12      3.05      3.16     94.84      1.00
logtarr[14]      3.13      0.03      3.14      3.09      3.17    104.36      1.00
logtarr[15]      3.13      0.00      3.13      3.12      3.13    543.57      1.00
logtarr[16]      3.17      0.00      3.17      3.17      3.18    812.69      1.00
logtarr[17]      3.20      0.00      3.20      3.20      3.21    998.13      1.00
logtarr[18]      3.21      0.00      3.21      3.21      3.22    968.41      1.00
logtarr[19]      3.22      0.00      3.22      3.22      3.23   1194.79      1.00
logtarr[20]      3.23      0.00      3.23      3.23      3.24   1160.03      1.00
logtarr[21]      3.24      0.00      3.24      3.24      3.25    938.35      1.00
logtarr[22]      3.25      0.00      3.25      3.24      3.25   1197.84      1.00
logtarr[23]      3.27      0.00      3.27      3.26      3.27   1126.37      1.00
logtarr[24]      3.27      0.00      3.27      3.27      3.28   1135.63      1.00
logtarr[25]      3.29      0.00      3.29      3.28      3.29   1234.88      1.00
logtarr[26]      3.31      0.00      3.31      3.30      3.31   1606.83      1.00
logtarr[27]      3.31      0.00      3.31      3.31      3.32   1010.77      1.00
logtarr[28]      3.33      0.02      3.33      3.30      3.36    581.71      1.00
logtarr[29]      3.34      0.02      3.34      3.31      3.38    594.62      1.01
logtarr[30]      3.36      0.03      3.36      3.32      3.41    435.09      1.01
logtarr[31]      3.37      0.03      3.37      3.32      3.43    490.76      1.01
logtarr[32]      3.39      0.04      3.39      3.32      3.46    313.09      1.01
logtarr[33]      3.41      0.05      3.40      3.33      3.49    286.43      1.01
logtarr[34]      3.42      0.06      3.41      3.34      3.52    232.71      1.01
logtarr[35]      3.44      0.06      3.43      3.34      3.55    207.23      1.01
logtarr[36]      3.45      0.07      3.44      3.34      3.58    203.52      1.01
     logtau      0.41      0.59      0.35     -0.41      1.35     74.21      1.00
    t0_base      0.43      0.15      0.42      0.12      0.65    302.78      1.00

Number of divergences: 0
