
                 mean       std    median      5.0%     95.0%     n_eff     r_hat
          a      0.11      0.04      0.10      0.04      0.16    302.64      1.00
   logalpha     -1.14      0.56     -1.23     -2.00     -0.41    159.65      1.01
   logsigma     -1.88      0.09     -1.90     -2.00     -1.76    364.69      1.00
 logtarr[0]      2.93      0.07      2.94      2.81      3.04    244.92      1.00
 logtarr[1]      2.94      0.07      2.96      2.82      3.04    224.96      1.00
 logtarr[2]      2.96      0.07      2.97      2.84      3.05    217.08      1.00
 logtarr[3]      2.97      0.06      2.98      2.86      3.05    190.47      1.00
 logtarr[4]      2.99      0.06      3.00      2.88      3.07    171.76      1.00
 logtarr[5]      3.00      0.05      3.01      2.91      3.07    161.18      1.00
 logtarr[6]      3.01      0.05      3.03      2.92      3.08    149.98      1.00
 logtarr[7]      3.03      0.05      3.04      2.95      3.10    141.53      1.00
 logtarr[8]      3.04      0.05      3.05      2.97      3.11    133.22      1.00
 logtarr[9]      3.06      0.04      3.07      2.99      3.12    129.37      1.00
logtarr[10]      3.07      0.04      3.08      3.01      3.13    113.13      1.00
logtarr[11]      3.09      0.04      3.10      3.04      3.14    121.18      1.00
logtarr[12]      3.10      0.03      3.11      3.06      3.16    123.96      1.00
logtarr[13]      3.12      0.03      3.12      3.08      3.16    137.88      1.00
logtarr[14]      3.14      0.02      3.14      3.10      3.17    197.86      1.00
logtarr[15]      3.13      0.00      3.13      3.12      3.13   1026.97      1.00
logtarr[16]      3.17      0.00      3.17      3.17      3.18    945.56      1.00
logtarr[17]      3.20      0.00      3.20      3.20      3.21   1290.72      1.00
logtarr[18]      3.21      0.00      3.21      3.21      3.22    782.35      1.00
logtarr[19]      3.22      0.00      3.22      3.22      3.23   1225.46      1.00
logtarr[20]      3.23      0.00      3.23      3.23      3.24   1120.77      1.00
logtarr[21]      3.24      0.00      3.24      3.24      3.25   1115.44      1.00
logtarr[22]      3.25      0.00      3.25      3.24      3.25    975.99      1.00
logtarr[23]      3.27      0.00      3.27      3.26      3.27   1101.38      1.00
logtarr[24]      3.27      0.00      3.27      3.27      3.28   1207.44      1.00
logtarr[25]      3.29      0.00      3.29      3.28      3.29   1492.38      1.00
logtarr[26]      3.31      0.00      3.31      3.30      3.31   1089.21      1.00
logtarr[27]      3.31      0.00      3.31      3.31      3.32    905.96      1.00
logtarr[28]      3.33      0.02      3.33      3.30      3.36    949.95      1.00
logtarr[29]      3.34      0.02      3.34      3.31      3.37    519.34      1.00
logtarr[30]      3.35      0.02      3.36      3.32      3.39    391.41      1.00
logtarr[31]      3.37      0.03      3.37      3.33      3.41    405.28      1.00
logtarr[32]      3.38      0.03      3.38      3.33      3.43    221.68      1.00
logtarr[33]      3.39      0.04      3.40      3.34      3.45    185.55      1.00
logtarr[34]      3.41      0.04      3.41      3.35      3.47    167.32      1.00
logtarr[35]      3.42      0.04      3.42      3.36      3.50    127.13      1.00
logtarr[36]      3.43      0.05      3.44      3.38      3.53    122.54      1.00
     logtau      0.53      0.57      0.57     -0.26      1.48    105.73      1.00
    t0_base      0.44      0.15      0.42      0.21      0.73    324.19      1.00

Number of divergences: 0
