
                 mean       std    median      5.0%     95.0%     n_eff     r_hat
   logalpha     -0.47      0.41     -0.52     -1.15      0.15     72.58      1.01
      logmu      3.14      0.20      3.17      2.81      3.48    569.22      1.00
   logsigma     -1.89      0.09     -1.91     -2.00     -1.76    252.63      1.00
 logtarr[0]      3.00      0.15      2.97      2.75      3.25     87.84      1.00
 logtarr[1]      3.00      0.14      2.98      2.79      3.25     88.85      1.00
 logtarr[2]      3.01      0.13      2.99      2.80      3.22     88.53      1.00
 logtarr[3]      3.01      0.12      3.00      2.80      3.20     92.19      1.00
 logtarr[4]      3.02      0.11      3.01      2.84      3.19     91.52      1.01
 logtarr[5]      3.02      0.10      3.01      2.87      3.20     99.70      1.01
 logtarr[6]      3.03      0.09      3.02      2.90      3.19    117.87      1.01
 logtarr[7]      3.04      0.08      3.03      2.91      3.16    162.23      1.01
 logtarr[8]      3.05      0.07      3.05      2.94      3.17    225.61      1.02
 logtarr[9]      3.06      0.06      3.06      2.97      3.16    283.83      1.01
logtarr[10]      3.07      0.05      3.07      2.98      3.14    255.14      1.01
logtarr[11]      3.08      0.05      3.09      3.01      3.15    192.92      1.00
logtarr[12]      3.10      0.04      3.10      3.04      3.16    102.22      1.00
logtarr[13]      3.12      0.03      3.12      3.07      3.16     97.31      1.00
logtarr[14]      3.13      0.02      3.14      3.09      3.17    104.40      1.00
logtarr[15]      3.13      0.00      3.13      3.12      3.13    594.24      1.00
logtarr[16]      3.17      0.00      3.17      3.17      3.18    980.73      1.00
logtarr[17]      3.20      0.00      3.20      3.19      3.21   1388.30      1.00
logtarr[18]      3.21      0.00      3.21      3.21      3.22    719.18      1.00
logtarr[19]      3.22      0.00      3.22      3.21      3.23   1088.96      1.00
logtarr[20]      3.23      0.00      3.23      3.23      3.24   1175.37      1.00
logtarr[21]      3.24      0.00      3.24      3.24      3.25   1316.24      1.00
logtarr[22]      3.25      0.00      3.25      3.24      3.25   1350.24      1.00
logtarr[23]      3.27      0.00      3.27      3.26      3.27   1101.36      1.00
logtarr[24]      3.27      0.00      3.27      3.27      3.28   1083.05      1.00
logtarr[25]      3.29      0.00      3.29      3.28      3.29   1176.56      1.00
logtarr[26]      3.31      0.00      3.31      3.30      3.31   1172.33      1.00
logtarr[27]      3.31      0.00      3.31      3.31      3.32    903.34      1.00
logtarr[28]      3.32      0.02      3.32      3.29      3.35    185.00      1.00
logtarr[29]      3.33      0.03      3.33      3.29      3.37     91.43      1.01
logtarr[30]      3.34      0.04      3.34      3.28      3.39     78.17      1.02
logtarr[31]      3.34      0.05      3.34      3.26      3.40     70.43      1.01
logtarr[32]      3.34      0.06      3.35      3.23      3.42     74.32      1.02
logtarr[33]      3.35      0.07      3.35      3.21      3.44     86.13      1.01
logtarr[34]      3.35      0.08      3.36      3.18      3.45     99.74      1.01
logtarr[35]      3.35      0.09      3.36      3.19      3.47    121.53      1.01
logtarr[36]      3.35      0.10      3.36      3.22      3.53    144.16      1.01
     logtau      0.47      0.41      0.49     -0.26      1.07     47.65      1.00

Number of divergences: 0
